period;power;traded power;price;market price;simulation_id;agent_id
1;20.4;20.4;55.0;53.13;1;1
2;3.8;3.8;54.0;50.13;1;1
3;59.2;59.2;49.7;49.26;1;1
4;21.1;21.1;45.0;44.16;1;1
5;87.9;87.9;44.66;44.16;1;1
6;64.3;64.3;49.65;49.26;1;1
7;1.0;1.0;54.0;52.0;1;1
8;5.3;5.3;56.0;54.13;1;1
9;100.0;100.0;59.0;58.31;1;1
10;1.7;1.7;60.0;59.28;1;1
11;28.7;28.7;65.0;65.0;1;1
12;1.2;1.2;65.0;62.2;1;1
13;1.3;1.3;66.0;65.1;1;1
14;0.1;0.1;65.0;65.0;1;1
15;1.7;1.7;60.0;59.1;1;1
16;1.2;1.2;65.0;60.09;1;1
17;3.2;3.2;60.0;58.5;1;1
18;3.3;3.3;60.0;58.2;1;1
19;3.2;3.2;60.0;55.03;1;1
20;1.3;1.3;60.0;55.03;1;1
21;1.2;1.2;60.0;56.07;1;1
22;25.6;25.6;65.0;60.09;1;1
23;25.0;25.0;65.0;63.51;1;1
24;1.1;1.1;60.0;58.64;1;1
1;4.0;4.0;56.0;53.13;1;2
2;18.7;18.7;55.0;50.13;1;2
3;3.7;3.7;51.0;49.26;1;2
4;110.0;110.0;45.04;44.16;1;2
5;90.0;90.0;45.0;44.16;1;2
6;100.0;100.0;49.66;49.26;1;2
7;19.2;19.2;55.0;52.0;1;2
8;22.5;22.5;65.0;54.13;1;2
9;1.7;1.7;60.0;58.31;1;2
10;37.7;37.7;65.0;59.28;1;2
11;1.2;1.2;66.0;65.0;1;2
12;0.1;0.1;65.0;62.2;1;2
13;79.6;79.6;69.0;65.1;1;2
14;1.3;1.3;67.0;65.0;1;2
15;0.1;0.1;65.0;59.1;1;2
16;0.1;0.1;65.0;60.09;1;2
17;1.6;1.6;60.0;58.5;1;2
18;1.5;1.5;60.0;58.2;1;2
19;1.4;1.4;60.0;55.03;1;2
20;64.7;64.7;69.0;55.03;1;2
21;30.1;30.1;65.0;56.07;1;2
22;58.5;58.5;69.0;60.09;1;2
23;55.0;55.0;67.0;63.51;1;2
24;1.3;1.3;63.0;58.64;1;2
1;1.3;1.3;65.0;53.13;1;3
2;1.2;1.2;58.0;50.13;1;3
3;1.1;1.1;52.0;49.26;1;3
4;52.0;52.0;45.13;44.16;1;3
5;52.0;52.0;45.13;44.16;1;3
6;105.0;105.0;49.67;49.26;1;3
7;80.6;80.6;60.0;52.0;1;3
8;2.7;2.7;65.0;54.13;1;3
9;25.6;25.6;65.0;58.31;1;3
10;72.7;72.7;66.0;59.28;1;3
11;78.0;78.0;69.0;65.0;1;3
12;79.4;79.4;69.0;62.2;1;3
13;3.9;3.9;70.0;65.1;1;3
14;76.7;76.7;69.0;65.0;1;3
15;1.3;1.3;67.0;59.1;1;3
16;68.6;68.6;69.0;60.09;1;3
17;1.2;1.2;65.0;58.5;1;3
18;67.0;67.0;69.0;58.2;1;3
19;65.9;65.9;69.0;55.03;1;3
20;3.2;3.2;70.0;55.03;1;3
21;62.5;62.5;69.0;56.07;1;3
22;485.0;485.0;70.49;60.09;1;3
23;1.3;1.3;69.0;63.51;1;3
24;23.1;23.1;65.0;58.64;1;3
1;0.1;0.1;65.0;53.13;1;4
2;1.7;1.7;60.0;50.13;1;4
3;17.2;17.2;55.0;49.26;1;4
4;3.5;3.5;46.0;44.16;1;4
5;1.0;1.0;47.0;44.16;1;4
6;105.0;17.9;49.68;49.26;1;4
7;1.8;1.8;60.0;52.0;1;4
8;69.0;69.0;67.0;54.13;1;4
9;68.0;68.0;67.0;58.31;1;4
10;1.1;1.1;68.0;59.28;1;4
11;3.8;3.8;70.0;65.0;1;4
12;3.8;3.8;70.0;62.2;1;4
13;485.0;485.0;70.49;65.1;1;4
14;3.9;3.9;70.0;65.0;1;4
15;69.5;69.5;69.0;59.1;1;4
16;485.0;485.0;70.49;60.09;1;4
17;68.0;68.0;69.0;58.5;1;4
18;1.2;1.2;69.0;58.2;1;4
19;485.0;485.0;70.49;55.03;1;4
20;485.0;485.0;70.49;55.03;1;4
21;485.0;485.0;70.49;56.07;1;4
22;1.3;1.3;73.0;60.09;1;4
23;3.1;3.1;70.0;63.51;1;4
24;2.0;2.0;65.0;58.64;1;4
1;69.4;69.4;66.0;53.13;1;5
2;0.1;0.1;62.0;50.13;1;5
3;0.1;0.1;55.0;49.26;1;5
4;1.0;1.0;48.0;44.16;1;5
5;3.5;3.5;48.0;44.16;1;5
6;73.0;0.0;49.69;49.26;1;5
7;0.1;0.1;65.0;52.0;1;5
8;1.0;1.0;67.0;54.13;1;5
9;1.0;1.0;67.0;58.31;1;5
10;3.1;3.1;70.0;59.28;1;5
11;0.1;0.1;70.0;65.0;1;5
12;485.0;485.0;70.49;62.2;1;5
13;4.1;4.1;75.0;65.1;1;5
14;485.0;485.0;70.49;65.0;1;5
15;3.3;3.3;70.0;59.1;1;5
16;3.2;3.2;75.0;60.09;1;5
17;485.0;485.0;70.49;58.5;1;5
18;485.0;485.0;70.49;58.2;1;5
19;1.2;1.2;72.0;55.03;1;5
20;1.2;1.2;74.0;55.03;1;5
21;1.3;1.3;72.0;56.07;1;5
22;3.1;3.1;75.0;60.09;1;5
23;485.0;485.0;70.49;63.51;1;5
24;53.9;53.9;68.0;58.64;1;5
1;274.8;274.8;70.0;53.13;1;6
2;65.6;65.6;65.0;50.13;1;6
3;63.4;63.4;60.0;49.26;1;6
4;75.0;75.0;49.64;44.16;1;6
5;75.0;75.0;49.64;44.16;1;6
6;73.0;0.0;49.7;49.26;1;6
7;64.9;64.9;67.0;52.0;1;6
8;0.1;0.1;70.0;54.13;1;6
9;3.0;3.0;70.0;58.31;1;6
10;0.1;0.1;70.0;59.28;1;6
11;485.0;485.0;70.49;65.0;1;6
12;4.2;4.2;75.0;62.2;1;6
13;3.9;3.9;75.0;65.1;1;6
14;3.6;3.6;75.0;65.0;1;6
15;485.0;485.0;70.49;59.1;1;6
16;2.9;2.9;75.0;60.09;1;6
17;3.2;3.2;75.0;58.5;1;6
18;3.3;3.3;75.0;58.2;1;6
19;3.2;3.2;75.0;55.03;1;6
20;3.1;3.1;75.0;55.03;1;6
21;3.1;3.1;75.0;56.07;1;6
22;2.8;2.8;75.0;60.09;1;6
23;2.6;2.6;75.0;63.51;1;6
24;0.1;0.1;70.0;58.64;1;6
1;1.8;1.8;70.0;53.13;1;7
2;57.9;57.9;67.0;50.13;1;7
3;1.7;1.7;60.0;49.26;1;7
4;100.0;100.0;49.65;44.16;1;7
5;100.0;100.0;49.65;44.16;1;7
6;1.0;0.0;50.0;49.26;1;7
7;280.7;280.7;70.0;52.0;1;7
8;485.0;485.0;70.49;54.13;1;7
9;0.1;0.1;70.0;58.31;1;7
10;485.0;485.0;70.49;59.28;1;7
11;4.2;4.2;75.0;65.0;1;7
12;4.1;4.1;75.0;62.2;1;7
13;415.0;415.0;80.0;65.1;1;7
14;3.5;3.5;75.0;65.0;1;7
15;3.3;3.3;75.0;59.1;1;7
16;331.1;331.1;80.0;60.09;1;7
17;3.0;3.0;75.0;58.5;1;7
18;2.6;2.6;75.0;58.2;1;7
19;2.1;2.1;75.0;55.03;1;7
20;1.4;1.4;75.0;55.03;1;7
21;3.0;3.0;75.0;56.07;1;7
22;1.0;1.0;75.0;60.09;1;7
23;0.8;0.8;75.0;63.51;1;7
24;485.0;485.0;70.49;58.64;1;7
1;485.0;485.0;70.49;53.13;1;8
2;259.6;259.6;70.0;50.13;1;8
3;57.3;57.3;67.0;49.26;1;8
4;100.0;100.0;49.66;44.16;1;8
5;100.0;100.0;49.66;44.16;1;8
6;16.9;0.0;55.0;49.26;1;8
7;485.0;485.0;70.49;52.0;1;8
8;96.6;96.6;75.0;54.13;1;8
9;485.0;485.0;70.49;58.31;1;8
10;4.4;4.4;75.0;59.28;1;8
11;4.1;4.1;75.0;65.0;1;8
12;413.4;413.4;80.0;62.2;1;8
13;187.9;127.9;80.0;65.1;1;8
14;386.4;386.4;80.0;65.0;1;8
15;2.6;2.6;75.0;59.1;1;8
16;130.7;24.3;80.0;60.09;1;8
17;343.7;343.7;80.0;58.5;1;8
18;352.2;352.2;80.0;58.2;1;8
19;134.3;134.3;80.0;55.03;1;8
20;0.1;0.1;75.0;55.03;1;8
21;1.2;1.2;75.0;56.07;1;8
22;0.1;0.1;75.0;60.09;1;8
23;0.1;0.1;75.0;63.51;1;8
24;2.4;2.4;75.0;58.64;1;8
1;69.4;69.4;75.0;53.13;1;9
2;485.0;485.0;70.49;50.13;1;9
3;251.0;83.5;70.0;49.26;1;9
